,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.1894248e-38,-4.4093123e-38,1.410313e-39,2.8810102e-38,-1.0438851e-38,5.6952116e-38,-6.043865e-39,-4.059671e-38,-1.4624752e-38,-7.14803e-38,4.588057e-38,7.46023e-40,-1.4920164e-38,-4.702743e-38,-8.839942e-38,-1.9847544e-38,-2.2859396e-38,8.424556e-39,3.2404618e-38,-3.843124e-39
1,-6.7731296e-38,-9.954155e-38,5.942631e-38,-3.622473e-38,6.334136e-38,-8.560911e-38,-5.7943523e-38,5.265821e-38,1.7137472e-38,-1.756347e-38,-1.1520366e-38,3.012939e-38,-1.1612757e-38,6.396687e-38,1.7469279e-38,4.9047946e-38,3.8469185e-38,3.625838e-38,8.761165e-39,-4.4353288e-38
2,0.06997261,9.707467e-39,0.31556863,-0.08379578,-0.023623494,8.6263194e-38,-0.17408755,-8.221758e-38,0.15168418,-3.211978e-38,-0.13563457,-0.03436205,3.3293714e-38,2.1659953e-38,-0.4223478,8.513509e-38,0.0617687,-0.21054147,0.052522115,-0.021092067
3,-0.11460187,8.24782e-38,0.360877,-0.10518236,-0.35371658,-2.2237472e-38,-0.5460697,-8.232655e-38,0.52384025,-9.988977e-38,8.2453164e-38,-0.024617339,-1.8466147e-38,-3.982482e-38,-0.43313876,4.1694167e-38,0.41810638,-0.25771046,0.4950976,-0.3646396
4,-1.8902608e-28,1.7280886e-38,-4.1222927e-38,-4.229532e-38,3.9696286e-38,-7.4029645e-38,-1.5023e-38,-1.1812474e-38,1.72349e-39,3.3389537e-38,9.174439e-38,1.4063513e-38,-1.116667e-39,1.9253213e-38,4.88248e-38,5.469716e-39,-1.4187537e-38,1.1274117e-38,-2.4184152e-32,-8.464232e-39
5,7.9624054e-38,-1.2845222e-38,-4.1265437e-38,-1.9507554e-38,-1.3875007e-38,8.371678e-38,2.0039514e-38,-7.477516e-38,-8.914199e-38,9.391789e-38,-1.5176445e-38,-9.792579e-38,-8.114672e-38,-8.218591e-38,-4.129055e-39,-7.69948e-38,-6.0350696e-38,8.867974e-38,1.246874e-38,2.0305045e-38
6,-8.0079157e-38,6.5582584e-38,-7.480129e-38,7.7671126e-38,-8.0856883e-38,-8.229798e-38,-3.052592e-38,5.3775815e-38,-1.2631018e-38,1.4260785e-38,4.4929272e-38,1.7672593e-38,6.058887e-38,7.9608534e-38,8.7158814e-38,1.5335562e-38,2.572044e-38,-6.230265e-39,-7.511061e-38,4.923533e-38
7,0.061103567,4.1206375e-38,-0.0709579,0.24475427,0.9489835,2.0281108e-38,0.9897162,1.612929e-38,-0.1500991,3.3585812e-38,0.0947567,-0.00012280198,2.775629e-38,-6.2992413e-38,0.5067504,-4.8778785e-38,-0.5123459,0.45016977,-0.4821927,0.6988018
8,0.067689784,5.1381607e-38,0.14396916,0.26153368,-1.9422398,-2.5724303e-38,-0.78637284,5.100149e-39,-0.14160798,8.984323e-39,0.0075794994,0.0039603887,-8.311663e-38,-1.7434501e-38,-0.084598966,-9.030035e-39,0.23532176,0.5160953,0.7595531,-1.4502071
9,-0.084458284,-1.1751806e-38,-0.016942032,0.01743936,0.04593956,4.1376263e-38,0.5539408,-9.100733e-39,0.16037571,-3.03632e-40,0.008373526,-0.017477296,-4.5162762e-38,4.0350412e-38,0.36785528,8.148608e-38,-0.2490635,0.21883218,-0.2057667,0.2909391
10,-0.12805396,8.3089275e-38,-0.22581048,0.2813148,0.9202288,1.6060181e-38,1.1395804,-6.436685e-39,-0.09918486,3.4294983e-38,0.007452913,0.00013983522,-6.314352e-38,5.890745e-38,0.690775,-2.6116773e-38,-0.5495225,0.5497441,-0.9506877,0.8082138
11,3.0200756e-38,1.8080738e-38,7.9414286e-38,-4.0560063e-38,-3.547171e-39,-4.323253e-38,-3.0732605e-38,5.248062e-38,-5.56581e-38,3.7194623e-38,-7.550516e-39,5.5075564e-38,2.6410866e-38,-6.5850053e-38,4.010366e-38,-8.255561e-39,-2.2737264e-38,-7.177172e-38,4.5924012e-38,-6.88032e-39
12,0.043113176,7.047845e-38,0.36228877,-0.09311284,0.05317509,-7.27362e-40,-0.3059877,-3.8908806e-38,0.25443718,7.395584e-39,-3.2212382e-38,-0.035173878,4.1647784e-38,-2.2111748e-38,-0.39203265,-8.534302e-38,0.2948508,-0.6975213,0.083393216,0.20941432
13,-7.89595e-40,8.4834654e-38,0.13797298,0.29777783,-0.42231297,-5.186093e-38,-0.28480184,2.1554571e-38,-0.038603973,-1.2512542e-38,6.629366e-38,2.106392e-06,-5.0768606e-38,5.941534e-38,0.18026075,-5.3597833e-38,0.13598733,0.64975506,0.1561787,-0.5098378
14,0.0032670926,2.8838364e-38,0.2127136,-0.04743986,-0.24967538,-8.8133316e-38,-0.107915744,4.754096e-39,0.31284785,6.946045e-38,0.09425293,-0.0290639,-9.2604327e-38,3.6220213e-38,0.3036463,-4.719875e-39,0.1772603,-0.09390341,0.23803121,0.16471052
15,5.915093e-38,5.4186906e-38,8.525746e-39,7.773266e-38,-1.8727353e-38,4.727871e-38,2.7467883e-38,3.5759727e-38,-7.316933e-39,-1.125375e-38,-5.407171e-38,-8.482688e-38,1.5783175e-38,-1.4449062e-38,-4.5202864e-38,3.951732e-39,8.3524e-38,-8.1933585e-38,-8.060634e-38,7.8804906e-38
16,-0.040298034,8.3844547e-38,0.06635969,-6.1429203e-38,3.9031224e-38,-4.5151978e-38,-0.016046673,-8.886407e-38,-1.3841343e-05,3.2873072e-38,-0.086576484,-7.157531e-38,8.4216014e-38,-4.172837e-38,-0.07912517,-6.080155e-38,0.0015962125,0.006801123,0.06557368,3.488953e-05
17,-1.444247e-38,-3.39226e-40,1.6496607e-38,1.2079553e-38,1.0801447e-38,-3.0693436e-38,-3.4175304e-38,3.5799403e-38,6.906026e-38,-3.7951193e-38,-3.253162e-38,1.6126783e-38,-2.1438821e-38,-5.8292996e-38,6.0993466e-38,-2.8405755e-38,-6.264946e-38,-2.857737e-38,2.6252755e-38,5.302492e-38
18,0.11766539,-1.0815269e-38,-0.20388944,0.020877328,0.19171397,-7.250496e-38,0.55576533,-5.2477854e-38,0.1457747,-1.8486853e-38,0.04241881,-0.011489457,-4.928128e-38,1.7999505e-38,0.047710568,-1.8621201e-38,-0.17199817,0.087634906,-0.14363645,0.3152645
19,0.019084735,-3.045243e-38,0.3954662,0.18125649,-1.815101,-3.4002104e-38,-0.9621639,2.38257e-40,-0.11874409,8.883117e-39,-0.08545812,0.0016951325,-2.985536e-38,-8.407788e-39,-0.12314313,1.865122e-38,0.33787245,0.5300154,0.93616533,-1.4934423
20,-0.08526146,4.805983e-39,-0.2355195,0.07313609,0.64449173,-2.8869742e-38,0.3060809,2.1308744e-38,-0.08417035,2.73342e-38,0.014515811,-0.011820406,-6.323445e-38,-1.6689365e-38,0.6688847,-2.2659906e-38,-0.06663385,0.15886292,-0.43827346,0.14960204
21,0.039901707,-2.1042373e-38,-0.62005883,0.22605777,1.1420639,-6.4618076e-38,1.3306907,4.035099e-38,-0.28599018,1.6122075e-38,0.075743474,-0.0006008534,-6.215117e-39,9.369829e-38,1.0070698,7.336508e-39,-0.6934711,0.6702614,-1.0092545,0.7911334
22,3.9468163e-38,5.846257e-38,4.4196954e-38,4.11113e-39,5.353186e-39,7.614454e-38,5.7921977e-38,7.7231236e-38,4.3241924e-38,-3.204949e-38,-1.5961531e-38,-4.896624e-38,-1.6051892e-38,6.2805614e-38,5.448111e-39,2.2861417e-38,3.0924662e-38,6.874723e-39,8.046924e-38,-5.189003e-39
23,-6.6614523e-38,-1.0977042e-38,9.64605e-39,9.0503786e-38,6.727115e-39,5.9578104e-38,2.5917335e-38,-3.077159e-39,-8.2015096e-38,-4.185413e-38,2.1382458e-38,3.4922465e-38,-5.635653e-38,-7.4707066e-38,-1.1909863e-38,-1.584553e-38,5.2197796e-38,2.1443738e-38,-3.4251232e-38,-7.680291e-38
24,5.767715e-18,-7.705303e-39,-0.5364061,0.04091165,1.2201362,-9.050115e-39,1.0263366,5.0625343e-38,0.0078960415,2.264467e-39,-8.281605e-17,-0.0029154632,-3.800795e-38,2.2436358e-38,1.2871857,5.7819576e-38,-0.8205787,0.080172926,-1.0837553,1.0727379
25,-0.12185194,-1.8294085e-38,0.14636123,0.10244463,-0.10552258,3.6582797e-38,-0.0019703144,-7.9731327e-38,-0.0028212292,-9.310894e-38,0.10294508,-0.008524846,-3.3964582e-38,-8.118252e-39,0.4067123,2.2209364e-38,0.1595337,0.26813594,0.23006502,-0.20628697
26,-0.19769627,2.4485947e-38,-0.5484137,0.36607236,1.7133193,-1.8365363e-38,1.4871106,-4.983452e-38,-0.15626545,-1.1050546e-38,-0.17637275,7.3789906e-06,9.235596e-38,9.3715237e-38,0.8261808,-1.7311403e-38,-0.63056576,0.44534287,-1.2091521,0.92501664
27,-0.023475321,4.9206394e-38,-0.002112791,-0.09481029,-0.2844853,-3.0883105e-38,-0.095463686,-6.219077e-38,0.41862038,-8.771849e-38,-0.14041659,-0.044955764,-3.9964107e-38,-2.681871e-38,0.28894883,-8.8477884e-38,0.33446595,-0.052580707,0.070046835,0.15458378
28,-0.14513066,-6.330465e-38,-0.20278355,0.2716355,0.45698225,6.499646e-38,0.7033546,7.4699555e-38,-0.1125111,1.4899564e-38,0.10560138,0.0001925613,5.563776e-38,8.1724253e-38,0.7864179,1.3775268e-38,-0.07525453,0.66565156,-0.4454354,0.6000387
29,-0.11001972,-4.016943e-39,0.12031782,0.13929373,-1.1786481,-4.594992e-39,-0.99247974,4.8728484e-38,0.14433892,9.00026e-40,-0.11663741,-0.00013684588,-2.1507088e-38,9.959533e-38,-0.2792194,-8.863862e-39,0.3737442,0.28514907,0.8384746,-0.8232768
