,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2.433467e-39,-1.6581385e-38,-0.0074112974,0.34903973,-5.36936e-39,-4.5867755e-38,7.9199125e-38,-0.5321039,0.6249179,-0.23124497,-0.2180581,-4.853551e-38,-0.03224376,-0.14092204,0.30384633,8.6240476e-38,-3.5253098e-28,-7.8294233e-38,-0.54808396,0.66317934,-0.23936483,-0.4886797,-6.721474e-38,2.831303e-39,-0.6980703,0.33009422,-1.0243329,0.70836306,-0.56428015,0.42096588,7.760828e-38,-0.55052143,0.118233696,-1.477863e-38,0.1261243,-0.27638933,3.360497e-38,-8.6170865e-38,0.11747727,-0.977171,-0.63996345,0.13120344,0.04881121,-0.029273411,0.29453525,-0.0053802785,-0.67540103,0.44518235,3.0176298e-38,0.64550626,-1.625051e-39,0.53720564,0.9924899,0.49759543,-0.40176985,0.6847448,6.8593485e-16,-1.246912,-1.1595131,0.042684603
1,4.2595886e-38,2.1426187e-38,-0.06504659,-0.15970281,-1.3327497e-38,7.37691e-38,5.4726775e-38,0.17016667,0.53848,0.16855314,0.10332787,4.5115398e-38,0.031920176,0.6835181,0.15362908,5.341667e-38,0.048213504,-8.59652e-40,-0.063536584,0.6153565,0.14817795,0.035724312,8.109645e-39,-8.1993336e-38,-0.11010151,0.4714436,0.73203653,0.04358851,0.13921444,0.19965926,7.9495404e-38,-0.41498435,0.09685068,0.06911341,-0.30527171,-0.19190411,0.14770314,3.697689e-39,0.29370928,0.17462339,0.020394474,0.0031899088,0.15754326,-0.0398111,0.66090435,-0.16061817,0.20202845,0.31378573,0.12936391,0.33832642,-1.1581565e-38,0.3832134,0.6867771,0.107390426,-0.20080149,0.15708171,-0.022444518,0.2131235,0.83565795,-0.30425772
2,2.6934593e-38,-5.5712163e-38,0.3404347,0.3440149,0.00136238,4.225886e-38,-1.3331327e-38,-0.20514907,-0.27497286,0.06432435,-0.33474898,-5.56025e-40,0.45698544,-0.10176233,0.18001884,-8.475368e-38,-3.133859e-11,4.4174622e-38,0.028148877,-0.098328106,-0.020004924,-0.25084925,-5.2647775e-38,-8.831457e-38,-0.07303976,-0.11044498,-0.18790928,0.23471811,-0.26617253,-0.18194386,4.1725114e-38,0.30148605,-0.22204268,-1.5160699e-20,0.17261957,0.42029616,-1.1820341e-30,9.62164e-39,0.45928636,0.074245684,0.35845122,0.48636627,-0.001308461,0.3314736,-0.01075479,0.096039,-0.18198638,-0.06373903,1.9770813e-19,-0.25938398,2.7505793e-38,-0.2240601,-0.1529602,0.36524022,0.22590934,-0.18006516,-0.010795863,0.17095579,-0.16631937,0.022504132
3,5.1601605e-38,9.0830866e-38,-0.92702377,-2.5356674,-7.465874e-38,5.0530374e-38,-8.674929e-38,2.902445,-2.9417686,1.7827867,2.7578807,-3.250619e-39,-0.92355675,-0.5990187,-0.53759426,-4.2523898e-38,-1.9539627e-38,-8.7277935e-38,1.572275,-3.2022092,2.4890041,3.272519,2.1599909e-38,1.7257166e-38,3.1583333,-0.21785112,2.9102848,-0.20585029,2.6089036,-2.9970767,-4.0555618e-38,0.7684444,3.5739791,-2.4283995e-38,-1.4751371,-1.0757966,6.9288565e-38,-1.1117824e-38,-1.2455167,2.629133,0.9234757,-0.94254637,1.3470923,-0.8583398,-3.2767398,2.087651,2.291673,-0.25808296,4.3413717e-38,3.1974015,-7.659024e-39,-3.2357216,1.6084245,-0.72663975,0.5884417,3.4249728,-1.3426081e-16,2.5542574,2.9037719,1.9315901
4,3.6750496e-38,-1.0136718e-37,-1.2948766,-2.8676739,-2.2619445e-38,1.0438216e-38,-3.9578638e-38,3.370872,-3.1852844,2.2430406,3.4037645,8.535749e-38,-1.2076852,-0.64591664,-0.8383485,8.5775833e-38,-6.2524833e-38,-6.750686e-38,1.9086177,-3.4661345,2.7341495,3.6661844,1.1987277e-38,8.461677e-38,3.3697886,-0.38875452,3.281771,-0.38318056,2.8077095,-3.2305212,-6.3247416e-38,1.1984773,3.5923843,4.4194566e-38,-1.8960131,-1.5311341,-2.295744e-39,-4.973532e-39,-1.664112,2.8690953,1.4172788,-1.3554562,1.631073,-1.1859157,-3.3676708,2.4767792,2.6659603,-0.46278307,-4.3536056e-38,3.4669628,4.09819e-39,-3.473904,1.7988628,-1.1642895,0.9256278,3.6759338,1.9667499e-16,3.086486,3.6175637,2.1986125
5,2.1366217e-38,-4.3674746e-38,-0.7336474,-2.19019,-6.28193e-38,-4.6795555e-38,-9.403597e-38,2.6700935,-2.833683,1.6062478,2.6235719,3.0741204e-38,-0.7203319,-0.5030515,-0.41519642,1.927122e-39,5.370289e-38,-7.377646e-38,1.2924151,-2.8851678,2.096614,3.1741934,-3.145061e-38,-2.5679512e-38,3.0945828,-0.15083463,2.9151938,-0.1591603,2.5684624,-2.6292565,-3.0058054e-38,0.6925886,3.3231091,-1.141927e-39,-1.244346,-0.8777835,3.9599733e-38,-6.945195e-39,-1.0549082,2.4198031,0.86315,-0.73389775,1.1120118,-0.6769068,-2.9629653,1.6738446,2.0898337,-0.20713395,1.4518646e-38,2.9816914,-8.771078e-38,-3.2410502,1.3753814,-0.61063194,0.4825258,3.2126327,8.971701e-18,2.5896635,3.0735834,1.7034026
6,7.0118206e-38,5.857719e-39,-1.215625,-3.2369177,3.441256e-38,-2.352823e-38,5.202584e-38,3.8178618,-4.018925,2.335338,3.5674796,3.243025e-38,-1.1630739,-1.0958183,-0.962304,1.4979306e-38,-6.377188e-38,-8.4813483e-38,2.1033669,-4.159429,3.0058575,4.229147,7.7623174e-38,8.579515e-38,4.264767,-0.57876897,3.5350957,-0.53985417,3.6740887,-3.8620598,-5.749414e-38,1.387541,4.4157815,8.938142e-38,-1.9269521,-1.4726716,-6.098101e-38,-7.506961e-38,-1.7191781,3.7721548,1.5936817,-1.2327696,1.7404484,-1.0751762,-4.1007442,2.6507053,3.02525,-0.69996256,-5.363067e-38,4.195633,-5.644767e-39,-4.456185,2.2140975,-1.1714256,0.98449254,4.4030433,-4.433112e-38,3.8316514,3.8238852,2.6365004
7,9.69687e-38,-1.87224e-39,-1.2050331,-2.4135728,3.198627e-38,-9.912328e-38,2.2088455e-38,3.0609293,-3.0332832,2.0304768,3.2553442,2.3377904e-38,-1.2056615,-0.549922,-0.82842946,-1.9329602e-38,3.7527614e-38,-3.8412808e-38,1.9015745,-3.2537527,2.5869384,3.317304,3.9009176e-38,-7.4478464e-38,3.3055558,-0.32277945,3.5352418,-0.33802202,3.0290828,-3.062735,8.145885e-38,1.0171012,3.5531077,8.881812e-38,-1.7643238,-1.4091831,-3.6530607e-38,-8.927675e-38,-1.5933787,3.0666623,1.3648132,-1.2674927,1.590407,-1.0191513,-3.4608195,2.1574187,2.531335,-0.3979492,3.9656873e-38,3.3687222,-6.195776e-38,-3.5593739,1.6644517,-1.0285386,0.8450587,3.4983404,2.808242e-17,2.8840325,3.8716018,2.1550968
8,3.931284e-38,-5.0633403e-38,-1.1665334,-2.9470108,2.1894145e-38,-2.1583053e-38,-4.4103498e-38,3.4880736,-3.5997293,2.2497344,3.4081528,-5.54541e-38,-1.0953922,-0.9496011,-0.7025866,4.6261164e-38,1.4632043e-38,-8.998983e-38,1.9231621,-3.7255788,2.7664342,3.7753913,1.3081948e-38,-7.708471e-38,3.7912283,-0.34309554,3.879751,-0.3388619,3.313342,-3.6941829,3.8074008e-38,1.0698189,4.098699,1.9694296e-38,-1.7888955,-1.3236637,-4.2167885e-38,-3.964355e-38,-1.551862,3.2174952,1.2825755,-1.1504585,1.6398367,-1.0510678,-3.7398548,2.3634486,2.7466817,-0.4379793,2.5249582e-38,3.8408237,2.0339738e-38,-3.852889,2.057767,-0.9477309,0.84718573,4.055777,9.2005665e-17,3.323627,4.0642548,2.4429543
9,-2.217937e-38,-6.7996265e-38,-1.312446,-2.7308211,-6.037337e-38,-2.1654052e-38,-2.3498363e-38,3.053287,-3.37971,2.2252882,3.3077507,-3.639256e-39,-1.3260658,-0.62375236,-0.91066754,1.20187e-40,-8.3818763e-38,5.2995045e-38,2.0668483,-3.4434428,2.8949764,3.6309245,-4.8616884e-38,8.0286975e-38,3.3924837,-0.3729368,3.3037038,-0.3765383,3.0177796,-3.327299,5.027342e-38,1.1874334,3.7747943,4.974617e-39,-1.9505008,-1.542364,4.264907e-39,-5.0561405e-38,-1.6710322,3.0301049,1.4047557,-1.2885653,1.8305471,-1.1720341,-3.5343814,2.43227,2.5790014,-0.45303175,-6.1565863e-38,3.5707421,1.1757914e-38,-3.427337,1.8636122,-1.1634283,0.93058836,3.7091315,1.11101e-16,3.0136447,3.4052844,2.3460429
