,0
0,0.21828917
1,-0.16149093
2,0.27882648
3,0.15482609
4,0.22987272
5,-0.14019977
6,0.10288043
7,-0.22508489
8,-0.08794489
9,-0.054430664
10,0.070143215
11,0.031558268
12,-0.27359283
13,-0.11995332
14,0.17502744
15,-0.25790012
16,0.29107928
17,0.25796
18,-0.03918541
19,-0.19491076
